data,brasil_retorno,brasil_peso,brasil_saldo,brasil_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,reits_retorno,reits_peso,reits_saldo,reits_mov,saldo_total,retorno_total
2009-11-01,0.1168,0.5896613055749348,79389.02346676306,0.0,0.1351,0.16077827057751934,21646.375258384996,0.0,0.0629,0.14545661450816447,19583.5447797025,0.0,0.0712,0.10410380933938143,14016.01170788252,0.0,134634.95521273307,0.1066018895352383
2009-12-01,-0.0254,0.5851775562440119,77372.54227070727,0.0,-0.0716,0.15199213267504935,20096.49478988463,0.0,0.0166,0.15057130164568347,19908.631623045563,0.0,0.059,0.11225900943525528,14842.95639864759,0.0,132220.62508228506,-0.01793241678309465
2010-01-01,-0.0737,0.4218200718200444,54780.71716735615,-18233.26,0.0535,0.21451784714918207,27858.896001143457,6347.64,0.0289,0.20950867251978972,27208.36702695158,6535.5,0.0094,0.15415340851098394,20019.517410794877,4990.13,129867.49760624605,-0.01779697739724484
2010-02-01,0.0364,0.42719343135513627,56774.73527224792,0.0,0.0035,0.21035397699423264,27956.40213714746,0.0,0.0086,0.20648613229767726,27442.35898338336,0.0,0.0354,0.15596645935295383,20728.208327137014,0.0,132901.70471991575,0.023363868324230985
2010-03-01,0.057,0.4336386654813529,60010.89518276605,0.0,-0.0122,0.1995483746674027,27615.33403107426,0.0,0.0391,0.2060519268294427,28515.35521963365,0.0,0.0733,0.1607610330218018,22247.58599751616,0.0,138389.1704309901,0.041289656311323863
2010-04-01,-0.0514,0.41791228029456795,56926.33517037187,0.0,0.0237,0.20753670226062756,28269.81744761072,0.0,-0.019,0.2053618182677164,27973.56347046061,0.0,0.0359,0.16918919917708813,23046.274334826987,0.0,136215.99042327018,-0.015703396450400864
2010-05-01,-0.078,0.3951365964987451,52486.081027082866,0.0,0.0798,0.22981027125585965,30525.748879930055,0.0,-0.0371,0.2027832542463956,26935.744265706522,0.0,-0.0071,0.1722698779989996,22882.645787049714,0.0,132830.21995976917,-0.024855895794467675
2010-06-01,-0.0277,0.3951284727834566,51032.21658263267,0.0,0.0221,0.24157590157916264,31200.36793017651,0.0,-0.0549,0.19710635955684486,25456.971905519233,0.0,-0.062,0.166189266080536,21463.921748252633,0.0,129153.47816658103,-0.02768000982232599
2010-07-01,0.1072,0.41944447715170896,56502.87020029089,0.0,-0.075,0.21424239723569788,28860.340335413275,0.0,0.0396,0.19646128714788455,26465.067992977794,0.0,0.066,0.16985183846470864,22880.540583637307,0.0,134708.81911231927,0.043013483063715885
2010-08-01,-0.0393,0.4099340019170348,54282.30740141946,0.0,0.0544,0.22980659484166013,30430.34284965976,0.0,-0.0493,0.19000811530154435,25160.34014092399,0.0,-0.0147,0.17025128793976088,22544.196637057838,0.0,132417.18702906102,-0.01701174502426228
2010-09-01,0.0977,0.376796411666805,52317.97081253814,-6620.86,0.0128,0.27026006157539617,37525.4582461354,6620.86,0.0511,0.190465539454155,26446.033522125203,0.0,0.0007,0.1624779873036437,22559.97757470378,0.0,138849.44015550253,0.04857566657891499
