data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,tbond_retorno,tbond_peso,tbond_saldo,tbond_mov,bil_retorno,bil_peso,bil_saldo,bil_mov,saldo_total,retorno_total
2014-02-01,0.0058,0.24116792020314198,41625.096782866975,0.0,0.027,0.26353283184499166,45485.23543998234,0.0,-0.0332,0.2555122618255972,44100.901225755835,0.0,-0.0355,0.23978698612626914,41386.75034544622,0.0,172597.98379405137,-0.009195691384171867
2014-03-01,-0.0186,0.2442251430539649,40850.86998270565,0.0,-0.057,0.25643139945548077,42892.57701990334,0.0,-0.0206,0.25822401352957797,43192.42266050527,0.0,-0.0255,0.2411194439609763,40331.38821163734,0.0,167267.2578747516,-0.030885215470770055
2014-04-01,-0.0089,0.2437617004477701,40487.29723985957,0.0,-0.0079,0.2562030373667391,42553.72566144611,0.0,0.0031,0.26085458786337506,43326.31917075283,0.0,-0.015,0.23918067432211582,39726.41738846278,0.0,166093.75946052128,-0.007015709046351626
2014-05-01,0.0194,0.247866723967758,41272.75080631284,0.0,-0.033,0.2471262476616547,41149.45271461838,0.0,0.0254,0.2668086585043013,44426.807677689954,0.0,-0.0016,0.23819836986628598,39662.85512064124,0.0,166511.86631926242,0.002517294208398635
2014-06-01,0.0091,0.24803154820085532,41648.33283865029,0.0,0.0506,0.2574605914398967,43231.615021978076,0.0,-0.0148,0.26066265445981057,43769.290924060144,0.0,-0.01,0.23384520589943744,39266.226569434824,0.0,167915.46535412333,0.008429423475259767
2014-07-01,0.0045,0.24712904633752272,41835.750336424215,0.0,-0.0148,0.25159505083685396,42591.7871196528,0.0,0.024,0.26475593125163643,44819.75390623759,0.0,0.0197,0.23651997157398677,40039.77123285269,0.0,169287.0625951673,0.008168379476847898
2014-08-01,0.0344,0.2508700586082328,43274.90014799721,0.0,0.001,0.247156876121934,42634.37890677245,0.0,0.0412,0.270530592605513,46666.327767174575,0.0,-0.0029,0.23144247266432028,39923.655896277414,0.0,172499.26271822164,0.018974870694850265
2014-09-01,0.0751,0.2533916917802376,46524.845149111796,0.0,0.0254,0.23810070893567659,43717.29213100447,0.0,0.0665,0.27106404920910415,49769.63856369168,0.0,0.092,0.23744355007498164,43596.632238734936,0.0,183608.40808254288,0.06440111794835945
2014-10-01,0.006,0.25779727938308394,46803.99422000647,0.0,-0.046,0.2297190656432831,41706.29669297826,0.0,0.0084,0.2764348138128878,50187.70352762669,0.0,-0.017,0.23604884116074495,42855.48949067644,0.0,181553.4839312879,-0.011191884798277818
2014-11-01,0.0768,0.2607814055471463,50398.540976102966,0.0,0.0462,0.22577455862049417,43633.12760019386,0.0,0.0796,0.28036181156990964,54182.644728425774,0.0,0.0511,0.23308222426244996,45045.405003650005,0.0,193259.7183083726,0.06447815885216035
2014-12-01,0.0467,0.25711919688714474,52752.152839686976,0.0,0.0663,0.22677233304468486,46526.00396008672,0.0,0.0806,0.2853773348402718,58549.76589353689,0.0,0.0509,0.23073113522789856,47338.21611833579,0.0,205166.13881164638,0.06160839210308411
2015-01-01,-0.048,0.23980401075369148,50220.049503382004,0.0,0.0647,0.23653875867790355,49536.236416304324,0.0,0.0789,0.30163772874372674,63169.34242253695,0.0,-0.0178,0.22201950182467822,46495.59587142941,0.0,209421.2242136527,0.020739706009248904
2015-02-01,0.1751,0.25782113464700646,59013.5801714242,0.0,0.0531,0.2279077915418724,52166.61057001008,0.0,0.0435,0.28798201228991727,65917.20881791732,0.0,0.114,0.22628906152120387,51796.09380077236,0.0,228893.49336012395,0.09298135477713343
2015-03-01,0.0913,0.25524719593900863,64401.52004107523,0.0,0.0834,0.22399912054318374,56517.305891548924,0.0,0.1206,0.29276171957262986,73866.82420135815,0.0,0.1106,0.2279919639451778,57524.74177513778,0.0,252310.39190912008,0.10230478029427315
2015-04-01,-0.0773,0.2595974607484841,59423.28254190012,0.0,-0.0846,0.22601442649433334,51735.941813123885,0.0,-0.1183,0.2845208319273192,65128.378898337476,0.0,-0.0853,0.22986728082986338,52617.88130171853,0.0,228905.48455508,-0.09276235979400449
2015-05-01,0.0822,0.2632446878475554,64307.876366844306,0.0,0.0764,0.2279614950281545,55688.56776764655,0.0,0.0434,0.27817400844053064,67954.95054252533,0.0,0.0707,0.23061980868375945,56337.96550975003,0.0,244289.36018676622,0.06720623431800954
2015-06-01,-0.0349,0.2631759576569488,62063.53148164144,0.0,-0.0285,0.22941329451501377,54101.44358626862,0.0,-0.0564,0.2719059812674297,64122.2913319269,0.0,-0.0142,0.23550476656060787,55537.96639951158,0.0,235825.2327993485,-0.03464795757353756
2015-07-01,0.1025,0.26790777183996556,68425.04345850968,0.0,0.0095,0.2138382577255944,54615.40730033817,0.0,0.1278,0.28314660173811296,72317.12016414716,0.0,0.0812,0.23510736869632715,60047.64927115192,0.0,255405.2201941469,0.08302753340842872
2015-08-01,-0.0046,0.2541069274577338,68110.28825860054,0.0,0.1,0.22413601623699023,60076.94803037199,0.0,0.0522,0.28388549778444455,76092.07383671564,0.0,0.0618,0.23787155852083142,63758.593996109106,0.0,268037.9041217973,0.04946133801825825
2015-09-01,0.1043,0.24882513434967096,75214.19132397258,0.0,0.1145,0.2215044173293554,66955.75857984959,0.0,0.1541,0.2905208582191749,87817.86241495353,0.0,0.1338,0.2391495901017988,72289.4938727885,0.0,302277.3061915642,0.12774089613164707
2015-10-01,0.0255,0.26311102214266313,77132.15320273388,0.0,-0.0301,0.22152282474489146,64940.390246596115,0.0,-0.0589,0.28191762085237815,82645.39031871277,0.0,-0.0533,0.2334485322600671,68436.46384936887,0.0,293154.3976174117,-0.03018059373723203
2015-11-01,0.0001,0.2680144193670219,77139.86641805415,0.0,-0.0678,0.21033099205369088,60537.4317878769,0.0,-0.0112,0.2839267886513837,81719.76194714318,0.0,-0.0002,0.23772779992790327,68422.776556599,0.0,287819.8367096733,-0.018197103475487975
2015-12-01,0.0118,0.26529215422094915,78050.1168417872,0.0,0.0266,0.2112399720654455,62147.727473434425,0.0,0.0225,0.28401498741285214,83558.45659095391,0.0,0.0296,0.23945288630075326,70448.09074267432,0.0,294204.3916488498,0.02218247015968089
2016-01-01,-0.0238,0.2484240016733726,76192.52406095267,0.0,0.0835,0.2195509702214564,67337.0627174662,0.0,0.0856,0.29576136132781256,90711.06047513956,0.0,0.0286,0.2362636667773585,72462.9061379148,0.0,306703.5533914732,0.042484619867747764
2016-02-01,-0.0215,0.23992412457746332,74554.38479364218,0.0,0.0882,0.23581075992315337,73276.19164914671,0.0,0.011,0.29512916409151935,91708.8821403661,0.0,-0.0174,0.22913595140786389,71202.05157111508,0.0,310741.5101542701,0.013165666710235113
2016-03-01,-0.0368,0.2522802796962923,71810.78343323615,0.0,-0.101,0.23142816968735583,65875.29629258289,0.0,-0.099,0.2902884990124507,82629.70280846985,0.0,-0.0965,0.22600305160390133,64331.053594502475,0.0,284646.8361287913,-0.08397550109260865
2016-04-01,-0.0329,0.25060258212610126,69448.20865828269,0.0,0.0119,0.24053854019036602,66659.21231846463,0.0,-0.0446,0.2848694789008629,78944.4180632121,0.0,-0.0351,0.22398939878266974,62073.033613335436,0.0,277124.8726532949,-0.02642560014998041
2016-05-01,0.0399,0.25672925527597396,72219.19218374816,0.0,-0.0374,0.22810183002726134,64166.15777775406,0.0,0.0304,0.2891678543124584,81344.32837233375,0.0,0.0242,0.2260010603843063,63575.20102677815,0.0,281304.8793606141,0.015083477232838538
2016-06-01,-0.0932,0.24716859409813918,65488.36347222283,0.0,-0.0145,0.23866669164271506,63235.74848997663,0.0,-0.0332,0.2968199373151421,78643.69667037227,0.0,-0.0942,0.2173447769440037,57586.41709005565,0.0,264954.22572262737,-0.05812431577849131
2016-07-01,0.0497,0.25099671892570596,68743.1351367923,0.0,0.0359,0.2391768852929299,65505.91186076679,0.0,0.033,0.29662172102298295,81238.93866049456,0.0,0.014,0.21320467475838115,58392.62692931643,0.0,273880.6125873701,0.03369029816526692
2016-08-01,-0.0139,0.2535334846254004,67787.60555839089,0.0,-0.0432,0.2344156998629997,62676.05646838166,0.0,-0.0244,0.29642925627653993,79256.7085571785,0.0,-0.0127,0.21562155923506005,57651.040567314114,0.0,267371.41115126514,-0.02376656520011422
2016-09-01,0.0051,0.2542434755137806,68133.32234673869,0.0,0.0116,0.2365923695273309,63403.09872341489,0.0,-0.0106,0.29261608040864545,78416.5874464724,0.0,0.0066,0.21654807455024308,58031.53743505839,0.0,267984.54595168435,0.0022931950644204946
2016-10-01,-0.0367,0.25575232125531233,65632.82941661337,0.0,-0.0466,0.23555053152415736,60448.51432290376,0.0,-0.0624,0.28649958317201535,73523.39238981252,0.0,-0.0174,0.22219756404851487,57021.78868368837,0.0,256626.52481301804,-0.04238311988600296
