data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,tbond_20_retorno,tbond_20_peso,tbond_20_saldo,tbond_20_mov,tbond_7_10_retorno,tbond_7_10_peso,tbond_7_10_saldo,tbond_7_10_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,commodities_retorno,commodities_peso,commodities_saldo,commodities_mov,saldo_total,retorno_total
2015-03-01,0.0913,0.2546107095087494,47815.02350331124,0.0,0.1206,0.1733455212210171,32553.69810393559,0.0,0.1183,0.2334561781318894,43842.27460780048,0.0,0.0834,0.1591808407515018,29893.61938661245,0.0,0.0377,0.1794067503868424,33691.97628391502,0.0,187796.59188557477,0.09101782495019406
2015-04-01,-0.0773,0.2533124422233398,44118.92218650528,0.0,-0.1183,0.1647983276533717,28702.59561824001,0.0,-0.0924,0.2284647452930143,39791.24843403971,0.0,-0.0846,0.1571162252636691,27364.61918650504,0.0,0.0148,0.1963082595666052,34190.61753291696,0.0,174168.00295820698,-0.0725710130867111
2015-05-01,0.0822,0.2576043865433716,47745.49759023602,0.0,0.0434,0.1615819462922161,29948.28826807163,0.0,0.0649,0.2286215803128557,42373.70045740889,0.0,0.0764,0.1589219656554215,29455.27609235402,0.0,0.0477,0.193270121196135,35821.50998923711,0.0,185344.27239730768,0.06416947573190313
2015-06-01,-0.0349,0.2571227015266422,46079.17972433678,0.0,-0.0564,0.1576869017015211,28259.20480975239,0.0,-0.0318,0.2289270719603572,41026.21678286328,0.0,-0.0285,0.1596767137012513,28615.80072372193,0.0,-0.0165,0.1965866111102282,35230.4550744147,0.0,179210.85711508908,-0.03309201413610929
2015-07-01,0.1025,0.2054648457431147,38877.06590996073,-11925.22973612057,0.1278,0.2054067755104141,38866.07814095361,6995.34695651487,0.0959,0.2382415149040568,45078.90896817461,118.2779958347382,0.0095,0.1802709680343492,34110.00203259187,5222.351201994581,-0.072,0.1706158958080651,32283.11589083321,-410.7464182236326,189215.17094251403,0.05582426192515877
2015-08-01,-0.0046,0.1941564564923255,38698.23140677491,0.0,0.0522,0.2051775014377664,40894.88741991139,0.0,0.061,0.2399658828095954,47828.72241523326,0.0,0.1,0.188250071730102,37521.00223585106,0.0,0.0647,0.1724500875302107,34371.83348897011,0.0,199314.67696674075,0.05337577306258967
2015-09-01,0.1043,0.1912730172000524,42734.45694250154,0.0,0.1541,0.2112457484977193,47196.78957131974,0.0,0.1504,0.2462709425263444,55022.16226648435,0.0,0.1145,0.1871673202568691,41817.15699185601,0.0,0.0663,0.1640429715190148,36650.68604928884,0.0,223421.25182145048,0.12094731417462223
2015-10-01,0.0255,0.2036637878563549,43824.18559453533,0.0,-0.0589,0.2064182985796242,44416.898665569,0.0,-0.0605,0.2402339600936254,51693.32144936205,0.0,-0.0301,0.1884870100040348,40558.46056640115,0.0,-0.0536,0.1611969434663609,34686.20927704695,0.0,215179.07555291447,-0.03689074428390926
2015-11-01,0.0001,0.2102746122773355,43828.56801309478,0.0,-0.0112,0.2107105344138968,43919.42940051463,0.0,-0.0062,0.2464693896567472,51372.82285637601,0.0,-0.0678,0.1813928317241183,37808.59693999915,0.0,-0.0917,0.1511526319279024,31505.48388634175,0.0,208434.9010963263,-0.031342148112025514
2015-12-01,0.0118,0.2108286483517736,44345.7451156493,0.0,0.0225,0.2134998989368787,44907.6165620262,0.0,0.022,0.2496100078522478,52503.02495921628,0.0,0.0266,0.1845310653579472,38814.30561860312,0.0,-0.0551,0.1415303795011528,29769.53172420432,0.0,210340.22397969922,0.00914109332626789
2016-01-01,-0.0238,0.2186658663599493,47862.7962888456,4572.479906948764,0.0856,0.1962181221224136,42949.30966438693,-5802.398875348714,0.0626,0.2206771338281302,48303.03365517264,-7486.680666490574,0.0835,0.1848088018879209,40451.97444116184,-1603.325696594635,-0.0259,0.1796300758015859,39318.42618403258,10319.92533148516,218885.54023359958,0.04062616313808376
2016-02-01,-0.0215,0.2126845527033347,46833.74616863542,0.0,0.011,0.1971897760110353,43421.75207069518,0.0,-0.0043,0.21841374467828,48095.3306104554,0.0,0.0882,0.1999058466561852,44019.83858687232,0.0,-0.0378,0.1718060799511649,37832.18967427615,0.0,220202.8571109345,0.00601829100236162
2016-03-01,-0.0368,0.2223445996282465,45110.26430962964,0.0,-0.099,0.1928338837422092,39122.99861569636,0.0,-0.0983,0.2137549585716582,43367.55961144763,0.0,-0.101,0.1950560168277207,39573.83488959822,0.0,-0.0561,0.1760105412301655,35709.80383354925,0.0,202884.46125992108,-0.07864746206398543
2016-04-01,-0.0329,0.2173049159535919,43626.13661384282,0.0,-0.0446,0.1861830615264216,37378.11287743631,0.0,-0.0385,0.207700273729681,41697.9085664069,0.0,0.0119,0.1994658396905487,40044.76352478444,0.0,0.0645,0.1893459090997568,38013.08618081318,0.0,200760.00776328365,-0.01047124793808496
2016-05-01,0.0399,0.2218673210563008,45366.81946473515,0.0,0.0304,0.1883554658865815,38514.40750891037,0.0,0.0217,0.2083496006487,42602.75318229793,0.0,-0.0374,0.1885152971646245,38547.0893689575,0.0,0.0377,0.1929123152437932,39446.17952982984,0.0,204477.24905473075,0.01851584552551966
2016-06-01,-0.0932,0.2141913998992252,41138.63189062184,0.0,-0.0332,0.1938706416016771,37235.72917961454,0.0,-0.0674,0.2068641637121069,39731.32761781105,0.0,-0.0145,0.1977882117620874,37988.15657310762,0.0,-0.0881,0.1872855830249035,35970.97111325183,0.0,192064.81637440686,-0.06070324565546925
2016-07-01,0.0497,0.2101942137122443,40800.75132608766,-2382.470569498088,0.033,0.1958423937221261,38014.92279088724,-449.5854516545805,0.0147,0.2110943154464683,40975.46987032186,660.0917365289934,0.0359,0.195754845384554,37997.92880286442,-1354.002591217766,-0.0883,0.1871142317346073,36320.70123979312,3525.966875841434,194109.7740299543,0.010647226775574836
2016-08-01,-0.0139,0.2114757866602732,40233.62088265504,0.0,-0.0244,0.1949384166485507,37087.3586747896,0.0,-0.024,0.2102060879848932,39992.05859343414,0.0,-0.0432,0.1910964508523105,36356.41827858067,0.0,0.0072,0.1922832578539724,36582.21028871964,0.0,190251.66671817907,-0.019875904400258992
2016-09-01,0.0051,0.2100632984148024,40438.81234915658,0.0,-0.0106,0.19061171929341,36694.23267283683,0.0,0.0073,0.2092591140106175,40284.00062116621,0.0,0.0116,0.1910476501013489,36778.15273061221,0.0,0.0473,0.1990182181798213,38312.54883537607,0.0,192507.74720914793,0.011858400664162438
2016-10-01,-0.0367,0.2113320270197147,38954.70793594253,0.0,-0.0624,0.1866468974335302,34404.51255405181,0.0,-0.0336,0.2112004705003459,38930.45820029503,0.0,-0.0466,0.1902262408380199,35064.29081336568,0.0,-0.0349,0.2005943642083892,36975.44088102144,0.0,184329.4103846765,-0.04248315687568749
2016-11-01,0.0979,0.2248961473736716,42768.37384287131,0.0,-0.0275,0.1759398823383957,33458.38845881539,0.0,0.0153,0.2078467220050799,39526.09421075955,0.0,-0.0248,0.1798117344721712,34194.69640119421,0.0,0.0878,0.2115055138106817,40221.88459037513,0.0,190169.43750401557,0.0316825573691768
