data,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,small_caps_retorno,small_caps_peso,small_caps_saldo,small_caps_mov,emergentes_retorno,emergentes_peso,emergentes_saldo,emergentes_mov,bil_retorno,bil_peso,bil_saldo,bil_mov,saldo_total,retorno_total
2008-12-01,0.0912,0.46109200017035223,50449.14206808018,-5507.77,0.0228,0.162216693096344,17748.503536838904,-1712.32,0.0555,0.12291632948010692,13448.55986687662,-1712.32,0.1041,0.11037569626409298,12076.460185024338,-1712.32,0.0139,0.14339928098910382,15689.64696070867,10644.73,109412.31261752872,0.06495019308774941
2009-01-01,0.0379,0.4811932756269103,51101.56911246042,-1213.6,-0.099,0.1612540042507203,17124.787606691854,1257.92,-0.1099,0.12326303245080737,13090.23772950688,1257.92,-0.1062,0.112227295639447,11918.269009374753,1257.92,-0.0127,0.12206239203211501,12962.73260330767,-2560.17,106197.59606134158,-0.029381670849283448
2009-02-01,0.0448,0.4748189855086477,49929.862688698646,-3312.65,-0.0874,0.15883525332713674,16702.412141866986,1177.22,-0.0976,0.12243719887770227,12874.953855107007,1177.22,-0.039,0.11967758369347202,12584.764938009137,1177.22,0.0251,0.12423097859304134,13063.579789650692,-219.02,105155.57341333246,-0.009812111447487282
2009-03-01,-0.0375,0.4191698845415526,45545.51221287245,-2609.85,0.0753,0.20658915647145168,22447.244652149573,4172.92,0.064,0.16693843336707048,18138.937781833854,4172.92,0.1577,0.17854781370259803,19400.37185273318,4172.92,-0.0096,0.028754711917327234,3124.3849596700456,-9908.91,108656.4514592591,0.03329236798667656
2009-04-01,-0.0975,0.38242274745561705,41104.82477211738,0.0,0.0226,0.21313084249148578,22908.433121288155,-45.1,0.0786,0.18156913494282118,19516.013431485997,-45.1,0.0802,0.19451556751357177,20907.56465532238,-45.1,-0.0648,0.028361707596504273,3048.466726283427,135.31,107485.30270649734,-0.010778455738552073
2009-05-01,0.0163,0.3883495035376975,41774.8334159029,0.0,-0.032,0.205619603258916,22118.541661406933,-58.7,-0.0495,0.1719265797718712,18494.17641662744,-58.7,0.0657,0.20655009704444077,22218.635063177062,-58.7,-0.0808,0.027554216387074573,2964.0125427997264,176.09,107570.19909991405,0.0007898418786476125
2009-06-01,-0.0765,0.37637109837470767,38579.05865958633,0.0,-0.0233,0.20992149799075577,21517.52305069615,-87.7,-0.0058,0.17852911719750336,18299.718853411,-87.7,-0.0531,0.20444124655931528,20955.782411322358,-87.7,-0.0237,0.030737039877717996,3150.629975535373,263.1,102502.7129505512,-0.04710864339533327
2009-07-01,-0.0083,0.3640246592736812,38258.85247271176,0.0,0.034,0.2116955261168932,22249.118834419816,0.0,0.0473,0.18235361840319017,19165.29555517734,0.0,0.0687,0.213087784547086,22395.444662980204,0.0,-0.038,0.028838411659149348,3030.9060364650286,0.0,105099.61756175416,0.025334984181889286
2009-08-01,-0.0054,0.35954177796696457,38052.25466935912,0.0,0.0325,0.21665906383887892,22930.20277153846,-40.69,0.0282,0.18579715225162444,19663.919431833343,-40.69,-0.0142,0.2082225155228503,22037.317146765887,-40.69,-0.0004,0.02977949041968166,3151.7248420504425,122.08,105835.41886154727,0.007000989317213824
2009-09-01,0.0076,0.3091485395582542,32985.957044846255,-5315.1,-0.0155,0.22784916091482557,24311.363868579618,1763.92,0.0011,0.2010453139503209,21451.410055208362,1763.92,0.0475,0.233663928078379,24931.795911237263,1763.92,-0.0492,0.028293057498220267,3018.851651821561,23.34,106699.37853169306,0.008163237595119499
