data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,small_caps_retorno,small_caps_peso,small_caps_saldo,small_caps_mov,emergentes_retorno,emergentes_peso,emergentes_saldo,emergentes_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,saldo_total,retorno_total
2017-06-01,0.0193,0.44299166440106585,132060.0890120136,0.0,0.0487,0.19008990483872595,56667.63456424745,0.0,0.0191,0.2687996373179883,80131.76518480129,0.0,-0.0073,0.09811879344221971,29250.158946556774,0.0,298109.6477076192,0.022005463296999928
2017-07-01,-0.0339,0.43959035457671025,127583.25199450634,0.0,-0.0482,0.185838320500044,53936.25457825072,0.0,0.003,0.27692370253406884,80372.1604803557,0.0,-0.0311,0.09764762238917685,28340.47900331886,0.0,290232.14605643164,-0.026424846400521895
2017-08-01,0.0097,0.43616219937242484,128820.80953885305,0.0,-0.0035,0.18197850302835403,53747.47768722684,0.0,0.0329,0.281077395232712,83016.4045601594,0.0,0.0503,0.10078190236650919,29766.005097185796,0.0,295350.69688342506,0.01763605753719011
2017-09-01,0.0264,0.43750100040754897,132221.67891067878,0.0,0.0679,0.18991753186325122,57396.93142218955,0.0,0.0065,0.2764738640952898,83556.01118980044,0.0,-0.0242,0.09610760363391002,29045.6677738339,0.0,302220.28929650265,0.02325910345080051
2017-10-01,0.0564,0.4386618422678112,139678.98160124104,0.0,0.041,0.1876455209546664,59750.20561049932,0.0,0.0674,0.2800939293139295,89187.68634399299,0.0,0.0261,0.09359870746359278,29803.759702730964,0.0,318420.63325846434,0.05360442212424665
2017-11-01,0.0147,0.4434170047118787,141732.2626307793,0.0,0.016,0.1899226387720451,60706.20890026731,0.0,-0.0168,0.2743407940926348,87689.3332134139,0.0,-0.0099,0.09231956242344151,29508.70248167393,0.0,319636.5072261344,0.0038184522002477905
2017-12-01,0.0304,0.44290822797413826,146040.92341475497,0.0,0.0125,0.18640919111671994,61465.03651152065,0.0,0.0429,0.277350282886289,91451.20560826936,0.0,0.0429,0.09333229802285294,30774.62581813774,0.0,329731.7913526827,0.03158363922243135
2018-01-01,0.0144,0.45078436196606464,150515.97552792745,2338.39,-0.015,0.19454195707577182,64957.16116384784,4481.32,0.0401,0.25678057040367236,85738.50672716097,-9018.26,-0.0087,0.0978931105544911,32686.309188519943,2198.55,333897.95260745625,0.012635000215424741
2018-02-01,-0.0178,0.45225010671359267,147836.79116353035,0.0,-0.0172,0.19529374557009546,63839.89799182966,0.0,-0.0382,0.25226490658044004,82463.29577018342,0.0,0.002,0.10019124113587181,32751.681806896984,0.0,326891.6667324404,-0.02098331487301064
2018-03-01,-0.0061,0.4438109188610156,146934.9867374328,0.0,0.0314,0.19888044183038703,65844.4707887731,0.0,0.0268,0.2557521614089726,84673.31209682435,0.0,0.0266,0.10155647789962484,33622.87654296045,0.0,331075.6461659907,0.012799284470518035
2018-04-01,0.0435,0.4471574374309511,153326.65866051114,0.0,0.0509,0.20180108207473285,69195.95435192165,0.0,0.0113,0.24972920948457042,85630.12052351846,0.0,0.0332,0.1013122710097457,34739.15604418673,0.0,342891.88958013797,0.0356904639498099
2018-05-01,0.1012,0.45043296418116063,168843.31651695486,0.0,0.1443,0.21123549333615985,79180.93056490395,0.0,0.0496,0.2397710080840473,89877.37450148497,0.0,0.0635,0.09856053439863224,36945.09245299259,0.0,374846.71403633634,0.09319212681094968
2018-06-01,0.0418,0.4582785350025989,175900.96714736358,0.0,0.0432,0.2152035685445706,82601.5467653078,0.0,-0.0168,0.2302255589136002,88367.43460986002,0.0,0.0004,0.09629233753923018,36959.870489973786,0.0,383829.81901250524,0.023964742492842195
2018-07-01,0.0,0.46312315135688437,175900.96714736358,0.0,-0.0224,0.21260703807231515,80751.2721177649,0.0,-0.0007,0.23249648909675735,88305.57740563311,0.0,-0.0569,0.09177332147404324,34856.85385909428,0.0,379814.6705298558,-0.010460751832620407
